"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","alternative","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction"
"221",471,530,3308670,470,0,0,0,0,0,0,0,123,123,1000,1000,1000,10,10,"false",1575002,249,16,1518215,1016047,320842,332,175,576,1,88,82,1,0,4,55045,9,2,55034,1
"222",479,522,3225350,478,0,0,0,0,0,0,0,134,134,1000,1000,1000,10,10,"false",1549927,234,16,1505004,1007396,324416,323,178,567,2,90,85,0,1,3,43214,10,2,43202,0
"223",494,507,3071885,493,0,0,0,0,0,0,0,108,108,1000,1000,1000,10,10,"false",1521907,220,16,1477945,980523,316519,315,170,558,1,94,88,1,0,4,42302,10,2,42290,1
"224",497,504,3041624,496,0,0,0,0,0,0,0,115,115,1000,1000,1000,10,10,"false",1521022,240,16,1479182,992287,311542,301,168,543,1,95,90,0,0,4,40204,10,2,40192,1
"225",499,502,3021530,498,0,0,0,0,0,0,0,114,114,1000,1000,1000,10,10,"false",1512729,258,16,1467903,981700,310975,315,173,555,1,95,89,0,1,3,43127,10,1,43116,1
"226",506,495,2951705,505,0,0,0,0,0,0,0,110,110,1000,1000,1000,10,10,"false",1493017,222,16,1451053,974784,313531,305,169,542,1,98,93,0,1,3,40336,11,1,40324,1
"227",507,494,2941794,506,0,0,0,0,0,0,0,109,109,1000,1000,1000,10,10,"false",1498089,249,16,1455570,980605,313653,301,167,547,2,97,92,0,0,4,40865,10,2,40853,1
"228",508,493,2931899,507,0,0,0,0,0,0,0,120,120,1000,1000,1000,10,10,"false",1475783,221,16,1434187,964599,311370,297,170,532,1,99,94,0,0,4,39993,10,2,39981,1
"229",509,492,2922020,508,0,0,0,0,0,0,0,97,97,1000,1000,1000,10,10,"false",1497420,225,17,1453460,975224,315504,295,174,528,1,100,94,0,0,4,42353,10,2,42341,1
"230",518,483,2833829,517,0,0,0,0,0,0,0,113,113,1000,1000,1000,10,10,"false",1481009,216,16,1438901,964793,306894,288,169,530,2,98,92,0,1,4,40529,10,1,40518,1
"231",521,480,2804720,520,0,0,0,0,0,0,0,109,109,1000,1000,1000,10,10,"false",1467279,248,16,1427132,957843,302715,282,171,494,1,99,93,1,0,4,38584,11,1,38572,1
"232",523,478,2785394,522,0,0,0,0,0,0,0,96,96,1000,1000,1000,10,10,"false",1462342,261,16,1420553,959260,307830,290,172,534,1,98,93,0,1,3,40152,10,1,40140,1
"233",525,476,2766132,524,0,0,0,0,0,0,0,101,101,1000,1000,1000,10,10,"false",1446888,221,16,1407599,938638,304383,270,171,504,1,98,92,1,0,4,37762,10,2,37750,1
"234",541,460,2614340,540,0,0,0,0,0,0,0,88,88,1000,1000,1000,10,10,"false",1419876,260,16,1382205,928165,297744,260,183,470,2,100,95,0,0,4,36147,11,2,36134,1
